task,dataset,image,sigma255,method,transition,dx,dy,klt_survival,klt_epe,klt_bad1,klt_bad3,farneback_epe,farneback_median_epe,farneback_bad1,farneback_bad3,farneback_bias_dx,farneback_bias_dy
tracking_flow,kodak24,kodim01,20,ectv_fdncnn,5.0,2.0,1.0,1.0,0.0988839715719223,0.0,0.0,0.11908896267414093,0.09789028763771057,0.0009089842833685198,0.0,0.012829896062612534,0.013593715615570545
tracking_flow,kodak24,kodim01,20,ectv_fdncnn,6.0,2.0,1.0,1.0,0.09589610248804092,0.0,0.0,0.11102627962827682,0.09738034754991531,0.0002345765892563922,0.0,-0.010490870103240013,-0.009692162275314331
tracking_flow,kodak24,kodim01,50,noisy,0.0,2.0,1.0,1.0,0.3699184060096741,0.041353383458646614,0.0,0.353081077337265,0.30314207077026367,0.013634764250527797,0.0,-0.0006777606322430074,0.04589373618364334
tracking_flow,kodak24,kodim01,50,noisy,1.0,2.0,1.0,1.0,0.3731749951839447,0.04119850187265917,0.0,0.3258671462535858,0.28816455602645874,0.007741027445460943,0.0,-0.02172178216278553,-0.007704318501055241
tracking_flow,kodak24,kodim01,50,noisy,2.0,2.0,1.0,1.0,0.3922440707683563,0.05263157894736842,0.0,0.33644649386405945,0.3006898760795593,0.010995777621393385,0.0,-0.021209949627518654,-0.0894712284207344
tracking_flow,kodak24,kodim01,50,noisy,3.0,2.0,1.0,1.0,0.408679723739624,0.032490974729241874,0.0,0.34572741389274597,0.29447150230407715,0.01448510438658222,0.0,0.05237915366888046,-0.00965860951691866
tracking_flow,kodak24,kodim01,50,noisy,4.0,2.0,1.0,1.0,0.3454967141151428,0.007220216606498195,0.0,0.33890625834465027,0.30874812602996826,0.002287121745249824,0.0,0.03940517455339432,0.03396231308579445
tracking_flow,kodak24,kodim01,50,noisy,5.0,2.0,1.0,1.0,0.3575893044471741,0.02909090909090909,0.0,0.35053369402885437,0.28492555022239685,0.025187661271405114,0.0,-0.047384075820446014,0.021958230063319206
tracking_flow,kodak24,kodim01,50,noisy,6.0,2.0,1.0,1.0,0.3704393804073334,0.04044117647058824,0.0,0.37539923191070557,0.3192441463470459,0.028178512784424115,0.0,0.0049890438094735146,-0.011742794886231422
tracking_flow,kodak24,kodim01,50,tv_maxiter,0.0,2.0,1.0,1.0,0.38742321729660034,0.05263157894736842,0.0037593984962406013,0.36358699202537537,0.31104642152786255,0.019675111423879895,0.0,-0.006111391820013523,0.054314468055963516
tracking_flow,kodak24,kodim01,50,tv_maxiter,1.0,2.0,1.0,1.0,0.3663427233695984,0.04119850187265917,0.0,0.34451085329055786,0.2966984808444977,0.014309171944639924,0.0,-0.014620195142924786,0.00012952812539879233
tracking_flow,kodak24,kodim01,50,tv_maxiter,2.0,2.0,1.0,1.0,0.38270506262779236,0.05263157894736842,0.0,0.3558879494667053,0.3163902759552002,0.015218156228008446,0.0,-0.01814397983253002,-0.08301855623722076
tracking_flow,kodak24,kodim01,50,tv_maxiter,3.0,2.0,1.0,1.0,0.3975774049758911,0.039711191335740074,0.0,0.3575153648853302,0.30155643820762634,0.01712409101571663,0.0,0.05047779902815819,-0.0173336211591959
tracking_flow,kodak24,kodim01,50,tv_maxiter,4.0,2.0,1.0,1.0,0.3521531820297241,0.018050541516245487,0.0,0.3570060431957245,0.31252437829971313,0.013106966924700914,0.0,0.04059254005551338,0.038608063012361526
tracking_flow,kodak24,kodim01,50,tv_maxiter,5.0,2.0,1.0,1.0,0.36128517985343933,0.03636363636363636,0.0036363636363636364,0.35925036668777466,0.28838256001472473,0.03471733520994605,0.0,-0.05694032460451126,0.01377874892205
tracking_flow,kodak24,kodim01,50,tv_maxiter,6.0,2.0,1.0,1.0,0.3650744557380676,0.04044117647058824,0.0,0.3879164159297943,0.32932543754577637,0.030700211118930332,0.0,0.001277032308280468,-0.004896101541817188
tracking_flow,kodak24,kodim01,50,tv_fixedk_val,0.0,2.0,1.0,1.0,0.38750573992729187,0.04887218045112782,0.0037593984962406013,0.3635542392730713,0.3110116720199585,0.019645789350222848,0.0,-0.006540731992572546,0.05413983389735222
tracking_flow,kodak24,kodim01,50,tv_fixedk_val,1.0,2.0,1.0,1.0,0.36550015211105347,0.04119850187265917,0.0,0.34421247243881226,0.29645246267318726,0.014338494018296974,0.0,-0.01452720444649458,0.0004884652444161475
tracking_flow,kodak24,kodim01,50,tv_fixedk_val,2.0,2.0,1.0,1.0,0.38226523995399475,0.05263157894736842,0.0,0.3559127449989319,0.3162420094013214,0.015130190007037298,0.0,-0.018153157085180283,-0.08317173272371292
tracking_flow,kodak24,kodim01,50,tv_fixedk_val,3.0,2.0,1.0,1.0,0.3977017104625702,0.039711191335740074,0.0,0.3575506806373596,0.3016026020050049,0.01721205723668778,0.0,0.05060410872101784,-0.01730162464082241
tracking_flow,kodak24,kodim01,50,tv_fixedk_val,4.0,2.0,1.0,1.0,0.35197558999061584,0.018050541516245487,0.0,0.3572588562965393,0.3126915693283081,0.013224255219329111,0.0,0.040502190589904785,0.038680750876665115
tracking_flow,kodak24,kodim01,50,tv_fixedk_val,5.0,2.0,1.0,1.0,0.36111846566200256,0.03636363636363636,0.0036363636363636364,0.35912948846817017,0.2885907292366028,0.03424818203143326,0.0,-0.05714058503508568,0.01387077011168003
