task,dataset,image,quality,method,bpp,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output
jpeg_compression,kodak24,kodim02,50,pm_diff_val,0.7629751461988304,28.381149315837,0.6934416890144348,0.8438796997070312,0.014101131819188595,0.31874731183052063,0.03510970249772072
jpeg_compression,kodak24,kodim02,70,pm_diff_val,1.0255847953216375,28.700674141824585,0.7074597477912903,0.8519983887672424,0.0138766560703516,0.31874731183052063,0.03522803634405136
jpeg_compression,kodak24,kodim02,10,wavelet_bayes,0.30610380116959063,25.953444915080112,0.6312164664268494,0.7412822842597961,0.016813790425658226,0.31874731183052063,0.025603534653782845
jpeg_compression,kodak24,kodim02,20,wavelet_bayes,0.39491959064327486,27.28980652146266,0.6761617064476013,0.789499044418335,0.015315092168748379,0.31874731183052063,0.029872743412852287
jpeg_compression,kodak24,kodim02,30,wavelet_bayes,0.48739035087719296,27.675323612195672,0.684528648853302,0.7938550710678101,0.014982142485678196,0.31874731183052063,0.031812895089387894
jpeg_compression,kodak24,kodim02,50,wavelet_bayes,0.6673976608187134,27.99226978161507,0.6944957375526428,0.8069013953208923,0.014688408002257347,0.31874731183052063,0.034519262611866
jpeg_compression,kodak24,kodim02,70,wavelet_bayes,0.9252558479532164,28.274256010228793,0.6994238495826721,0.8096425533294678,0.014693349599838257,0.31874731183052063,0.03635893389582634
jpeg_compression,kodak24,kodim02,10,nlm,0.29258040935672514,25.94188088064805,0.6522100567817688,0.7522338032722473,0.016720300540328026,0.31874731183052063,0.019096627831459045
jpeg_compression,kodak24,kodim02,20,nlm,0.3572733918128655,27.26999697907164,0.6905055046081543,0.8102377653121948,0.01493396982550621,0.31874731183052063,0.020870434120297432
jpeg_compression,kodak24,kodim02,30,nlm,0.4135599415204678,27.729886777043976,0.7132091522216797,0.8302199840545654,0.014166475273668766,0.31874731183052063,0.02072720229625702
jpeg_compression,kodak24,kodim02,50,nlm,0.5292397660818714,28.18146703428797,0.731232225894928,0.8491261005401611,0.013390195555984974,0.31874731183052063,0.021834122017025948
jpeg_compression,kodak24,kodim02,70,nlm,0.7096125730994152,28.410300063756413,0.743602454662323,0.8648208975791931,0.01278915349394083,0.31874731183052063,0.022365974262356758
jpeg_compression,kodak24,kodim02,10,bm3d,0.3220029239766082,26.39939452447397,0.672609269618988,0.8143595457077026,0.01528757344931364,0.31874731183052063,0.028582291677594185
jpeg_compression,kodak24,kodim02,20,bm3d,0.4197733918128655,28.00423259078147,0.717373788356781,0.8687247633934021,0.012915423139929771,0.31874731183052063,0.03168950229883194
jpeg_compression,kodak24,kodim02,30,bm3d,0.5001827485380117,28.75328677081037,0.7448980808258057,0.8896356821060181,0.011814206838607788,0.31874731183052063,0.03202847018837929
jpeg_compression,kodak24,kodim02,50,bm3d,0.6365131578947368,29.397558585559374,0.7656086087226868,0.906514048576355,0.0108376769348979,0.31874731183052063,0.032614536583423615
jpeg_compression,kodak24,kodim02,70,bm3d,0.8230994152046783,29.82979751646234,0.7810911536216736,0.9142385721206665,0.010354644618928432,0.31874731183052063,0.032433606684207916
jpeg_compression,kodak24,kodim02,10,fdncnn_color,0.33241959064327486,26.404578737899044,0.6693253517150879,0.8252524137496948,0.015076160430908203,0.31874731183052063,0.03076200559735298
jpeg_compression,kodak24,kodim02,20,fdncnn_color,0.4455409356725146,28.162826157199405,0.7180923819541931,0.8892095685005188,0.012312712147831917,0.31874731183052063,0.035336509346961975
jpeg_compression,kodak24,kodim02,30,fdncnn_color,0.5325292397660819,28.932481955306116,0.7424967885017395,0.9095280170440674,0.011165807954967022,0.31874731183052063,0.03542381525039673
jpeg_compression,kodak24,kodim02,50,fdncnn_color,0.680921052631579,29.679101581443646,0.7668275833129883,0.9233973026275635,0.010206769220530987,0.31874731183052063,0.03590692952275276
jpeg_compression,kodak24,kodim02,70,fdncnn_color,0.8795687134502924,30.32205114083343,0.7844902873039246,0.9325916171073914,0.009576129727065563,0.31874731183052063,0.03638163208961487
jpeg_compression,kodak24,kodim02,10,ectv_fdncnn,0.33241959064327486,26.404578737899044,0.6693253517150879,0.8252524137496948,0.015076160430908203,0.31874731183052063,0.03076200559735298
jpeg_compression,kodak24,kodim02,20,ectv_fdncnn,0.4455409356725146,28.162826157199405,0.7180923819541931,0.8892095685005188,0.012312712147831917,0.31874731183052063,0.035336509346961975
jpeg_compression,kodak24,kodim02,30,ectv_fdncnn,0.5325292397660819,28.932481955306116,0.7424967885017395,0.9095280170440674,0.011165807954967022,0.31874731183052063,0.03542381525039673
jpeg_compression,kodak24,kodim02,50,ectv_fdncnn,0.680921052631579,29.679101581443646,0.7668275833129883,0.9233973026275635,0.010206769220530987,0.31874731183052063,0.03590692952275276
jpeg_compression,kodak24,kodim02,70,ectv_fdncnn,0.8795687134502924,30.32205114083343,0.7844902873039246,0.9325916171073914,0.009576129727065563,0.31874731183052063,0.03638163208961487
jpeg_compression,kodak24,kodim03,10,noisy,0.4784356725146199,25.52789783744639,0.6045040488243103,0.8336366415023804,0.026310507208108902,0.3265019357204437,0.0743832141160965
jpeg_compression,kodak24,kodim03,20,noisy,0.8269371345029239,25.582974812607503,0.5314039587974548,0.8178173899650574,0.03364761918783188,0.3265019357204437,0.10553941875696182
jpeg_compression,kodak24,kodim03,30,noisy,1.1259137426900585,25.310656578421128,0.5018653273582458,0.8114955425262451,0.03630252927541733,0.3265019357204437,0.12300509959459305
jpeg_compression,kodak24,kodim03,50,noisy,1.7194809941520468,24.118644464477633,0.4364352226257324,0.7993566989898682,0.0396987609565258,0.3265019357204437,0.166166290640831
jpeg_compression,kodak24,kodim03,70,noisy,2.564327485380117,22.9625687464792,0.3825719356536865,0.7937108874320984,0.04150873050093651,0.3265019357204437,0.21493594348430634
jpeg_compression,kodak24,kodim03,10,tv_maxiter,0.3929093567251462,26.5828128429979,0.7124702334403992,0.8483468294143677,0.01992182433605194,0.3265019357204437,0.044664714485406876
jpeg_compression,kodak24,kodim03,20,tv_maxiter,0.5473318713450293,28.30649577049104,0.755586564540863,0.8969331383705139,0.0169861800968647,0.3265019357204437,0.04716090112924576
jpeg_compression,kodak24,kodim03,30,tv_maxiter,0.7013888888888888,28.810725742278024,0.7628405690193176,0.9105948805809021,0.016177792102098465,0.3265019357204437,0.04961876943707466
jpeg_compression,kodak24,kodim03,50,tv_maxiter,0.9614400584795322,29.34399564697884,0.7682626843452454,0.9233435392379761,0.015468690544366837,0.3265019357204437,0.05150144174695015
