task,dataset,image,sigma255,method,edge_precision,edge_recall,edge_f1,edge_density,pred_edge_count,ref_edge_count,canny_sigma,canny_low,canny_high,tolerance_px,edge_f1_tol2
edge_extraction,kodak24,kodim02,50,ectv_fidelity,0.9120553359683794,0.2980891719745223,0.4493245527443848,0.023117690058479533,1012.0,3140.0,1.0,0.1,0.2,1.0,0.5012503572105536
edge_extraction,kodak24,kodim02,50,bilateral_val,0.4099264705882353,0.13885350318471337,0.20744097528920294,0.024853801169590642,1088.0,3140.0,1.0,0.1,0.2,1.0,0.26996449018527363
edge_extraction,kodak24,kodim02,50,pm_diff_val,0.332972471388803,0.6729299363057325,0.44550473733685,0.14770650584795322,6466.0,3140.0,1.0,0.1,0.2,1.0,0.5332325621883908
edge_extraction,kodak24,kodim02,50,wavelet_bayes,0.6839160839160839,0.160828025477707,0.2604170236773906,0.01633315058479532,715.0,3140.0,1.0,0.1,0.2,1.0,0.3237333333333334
edge_extraction,kodak24,kodim02,50,nlm,0.9196217494089834,0.1232484076433121,0.2173653459778322,0.009662828947368422,423.0,3140.0,1.0,0.1,0.2,1.0,0.24776804163522026
edge_extraction,kodak24,kodim02,50,bm3d,0.9702833448514168,0.4627388535031847,0.6266306315217006,0.0330546418128655,1447.0,3140.0,1.0,0.1,0.2,1.0,0.6640218251028488
edge_extraction,kodak24,kodim02,50,fdncnn_color,0.9554730983302412,0.5070063694267516,0.6624789712943017,0.03693804824561404,1617.0,3140.0,1.0,0.1,0.2,1.0,0.6990000095510072
edge_extraction,kodak24,kodim02,50,ectv_fdncnn,0.9554730983302412,0.5070063694267516,0.6624789712943017,0.03693804824561404,1617.0,3140.0,1.0,0.1,0.2,1.0,0.6990000095510072
edge_extraction,kodak24,kodim03,25,noisy,0.32634622334658475,0.955062263129399,0.48646620640117494,0.2528326023391813,11068.0,3694.0,1.0,0.1,0.2,1.0,0.5343715426127011
edge_extraction,kodak24,kodim03,25,tv_maxiter,0.8711570709893796,0.8546291283161884,0.8628139551767422,0.081734283625731,3578.0,3694.0,1.0,0.1,0.2,1.0,0.9001953761263586
edge_extraction,kodak24,kodim03,25,tv_fixedk_val,0.8797396717600453,0.8516513264753655,0.8654676605931794,0.08072916666666667,3534.0,3694.0,1.0,0.1,0.2,1.0,0.9021551533840256
edge_extraction,kodak24,kodim03,25,tv_discrepancy,0.8711570709893796,0.8546291283161884,0.8628139551767422,0.081734283625731,3578.0,3694.0,1.0,0.1,0.2,1.0,0.9001953761263586
edge_extraction,kodak24,kodim03,25,tv_chambolle_val,0.9645700636942676,0.6746074715755279,0.793942276324736,0.057383040935672515,2512.0,3694.0,1.0,0.1,0.2,1.0,0.8247322565573094
edge_extraction,kodak24,kodim03,25,ectv,0.4893857911123691,0.9290741743367623,0.6410835848523961,0.16141264619883042,7066.0,3694.0,1.0,0.1,0.2,1.0,0.68784028076843
edge_extraction,kodak24,kodim03,25,ectv_fidelity,0.9677902621722847,0.7160259880887926,0.8230862228906238,0.06099232456140351,2670.0,3694.0,1.0,0.1,0.2,1.0,0.8494422315982567
edge_extraction,kodak24,kodim03,25,bilateral_val,0.8847227762265656,0.6012452625879805,0.7159445748702216,0.0572688230994152,2507.0,3694.0,1.0,0.1,0.2,1.0,0.7529578448496423
edge_extraction,kodak24,kodim03,25,pm_diff_val,0.8822643781993376,0.8080671358960476,0.8435373099887855,0.07586348684210527,3321.0,3694.0,1.0,0.1,0.2,1.0,0.8847284811998677
edge_extraction,kodak24,kodim03,25,wavelet_bayes,0.8140789100198694,0.778289117487818,0.7957818111137003,0.08047788742690058,3523.0,3694.0,1.0,0.1,0.2,1.0,0.8595982930894663
edge_extraction,kodak24,kodim03,25,nlm,0.9760956175298805,0.6025988088792636,0.7451651778028578,0.051603618421052634,2259.0,3694.0,1.0,0.1,0.2,1.0,0.777357766866827
edge_extraction,kodak24,kodim03,25,bm3d,0.9427312775330396,0.826204656199242,0.8806299382466359,0.0725968567251462,3178.0,3694.0,1.0,0.1,0.2,1.0,0.9064961794259693
edge_extraction,kodak24,kodim03,25,fdncnn_color,0.9636027143738433,0.8611261505143476,0.9094868964050378,0.07405884502923976,3242.0,3694.0,1.0,0.1,0.2,1.0,0.9334652502114196
edge_extraction,kodak24,kodim03,25,ectv_fdncnn,0.9636027143738433,0.8611261505143476,0.9094868964050378,0.07405884502923976,3242.0,3694.0,1.0,0.1,0.2,1.0,0.9334652502114196
edge_extraction,kodak24,kodim03,50,noisy,0.24382858271344876,0.949918787222523,0.3880508680723108,0.34701663011695905,15191.0,3694.0,1.0,0.1,0.2,1.0,0.46945020878802773
edge_extraction,kodak24,kodim03,50,tv_maxiter,0.2656119900083264,0.9206821873308068,0.4122826068162434,0.3017863669590643,13211.0,3694.0,1.0,0.1,0.2,1.0,0.48112119997952757
edge_extraction,kodak24,kodim03,50,tv_fixedk_val,0.26543116490166413,0.9206821873308068,0.4120647407390987,0.30199195906432746,13220.0,3694.0,1.0,0.1,0.2,1.0,0.4807878605119669
edge_extraction,kodak24,kodim03,50,tv_discrepancy,0.2656119900083264,0.9206821873308068,0.4122826068162434,0.3017863669590643,13211.0,3694.0,1.0,0.1,0.2,1.0,0.48112119997952757
edge_extraction,kodak24,kodim03,50,tv_chambolle_val,0.8987184787102108,0.5931239848402815,0.7146216820689854,0.05525858918128655,2419.0,3694.0,1.0,0.1,0.2,1.0,0.7576651823008578
edge_extraction,kodak24,kodim03,50,ectv,0.2656119900083264,0.9206821873308068,0.4122826068162434,0.3017863669590643,13211.0,3694.0,1.0,0.1,0.2,1.0,0.48112119997952757
edge_extraction,kodak24,kodim03,50,ectv_fidelity,0.9381802350892469,0.5871683811586357,0.7222870418008891,0.05247167397660819,2297.0,3694.0,1.0,0.1,0.2,1.0,0.7608264622961435
