task,dataset,image,sigma255,seed,method,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output,iterations,runtime,budget,removed,p,temporal_residual_fluctuation,gamma,lambda,alpha,eta,accepted
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,tv_discrepancy,27.8056277908944,0.7790188193321228,0.9490582346916199,0.025784756988286972,0.3007315397262573,0.07948555052280426,20,0.061756099999911385,,0.22124598920345306,0.7636462120215243,0.04485173895955086,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,tv_chambolle_val,26.430450158128764,0.7003749012947083,0.9144394397735596,0.03311209753155708,0.3007315397262573,0.0628957524895668,0,0.012875300000814605,,,0.0,0.051212143152952194,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,gaussian_val,25.410375981477735,0.6953668594360352,0.8801739811897278,0.03425544127821922,0.3007315397262573,0.0640273317694664,0,0.0002913000007538358,,,0.0,0.05934227257966995,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,median_val,23.401577219274614,0.517296314239502,0.7989681363105774,0.04111180827021599,0.3007315397262573,0.05864847078919411,0,0.0006721999998262618,,,0.0,0.06795336306095123,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,bilateral_val,26.27620156809373,0.7344022393226624,0.9394537210464478,0.027637023478746414,0.3007315397262573,0.11049921810626984,0,0.13478240000040387,,,0.0,0.04355308786034584,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,pm_diff_val,25.939246243473676,0.6880783438682556,0.9055198431015015,0.0334099680185318,0.3007315397262573,0.05749474838376045,5,0.006221400000868016,,,0.0,0.056010328233242035,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,wavelet_bayes,26.524298778327385,0.7276229858398438,0.9423853158950806,0.024300076067447662,0.3007315397262573,0.12473302334547043,0,0.003401500000109081,,,0.0,0.05161743238568306,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,nlm,27.473158246579867,0.7176219820976257,0.9154210686683655,0.029239891096949577,0.3007315397262573,0.07818770408630371,0,0.041807699999480974,,,0.0,0.04282386973500252,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,bm3d,30.898487144707385,0.8902516961097717,0.9748234748840332,0.01566581055521965,0.3007315397262573,0.10295175015926361,0,1.438744700000825,,,0.0,0.030562851577997208,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,fdncnn_color,31.195412289267985,0.8972318172454834,0.9771881699562073,0.014919416047632694,0.3007315397262573,0.10451312363147736,0,1.2110440999986167,,,0.0,0.0298819150775671,,,,,
