task,dataset,image,sigma255,seed,method,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output,iterations,runtime,budget,removed,p,gamma,lambda,alpha,eta,accepted
real_camera,polyu_full,NikonD800_5_100_4000_flower_1,1.4941258653060867,-1,fdncnn_color,36.35357240174806,0.961219072341919,0.9855502247810364,0.0068812407553195,0.0658336654305458,0.0621780455112457,0,1.904038999999102,,,0.0,,,,,
real_camera,polyu_full,NikonD800_5_100_4000_flower_1,1.4941258653060867,-1,ectv_fdncnn,35.89488474838366,0.9507040977478028,0.9849008321762084,0.007272851653397,0.0658336654305458,0.0657937005162239,0,1.944481899998209,3.996517371332998e-05,3.996491432189941e-05,0.998217256069578,0.32,,0.3333333333333333,0.0093284249305725,0.0
real_camera,polyu_full,NikonD800_5_100_4000_flower_2,1.2530852243939712,-1,noisy,36.45228013374538,0.9670804142951964,0.9902485013008118,0.006973079405725,0.0683029145002365,0.0683029145002365,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_5_100_4000_flower_2,1.2530852243939712,-1,fdncnn_color,36.82664790254032,0.9728463292121888,0.9905715584754944,0.0067304000258445,0.0683029145002365,0.0657905861735344,0,1.970300099999804,,,0.0,,,,,
real_camera,polyu_full,NikonD800_5_100_4000_flower_2,1.2530852243939712,-1,ectv_fdncnn,36.45542875155967,0.9671311378479004,0.9902513027191162,0.0069709899835288,0.0683029145002365,0.0682822093367576,0,2.0097963999996864,2.070980343858365e-05,2.070516347885132e-05,0.9987453985989962,0.32,,0.3333333333333333,0.0067542791366577,0.0
real_camera,polyu_full,NikonD800_5_125_6400_stair_10,1.4800896974276982,-1,noisy,36.67890486560145,0.9188928604125975,0.9606695771217346,0.007324447389692,0.0452161952853202,0.0452161952853202,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_5_125_6400_stair_10,1.4800896974276982,-1,fdncnn_color,37.44023149455555,0.9342775344848632,0.9632338285446168,0.006890857592225,0.0452161952853202,0.0411571636795997,0,1.8972283999992212,,,0.0,,,,,
real_camera,polyu_full,NikonD800_5_125_6400_stair_10,1.4800896974276982,-1,ectv_fdncnn,36.68603888629729,0.9190486073493958,0.9606962203979492,0.0073201498016715,0.0452161952853202,0.0451776161789894,0,1.939626399998815,3.8582182672936975e-05,3.857910633087158e-05,0.9982505353745948,0.32,,0.3333333333333333,0.0084121227264404,0.0
real_camera,polyu_full,NikonD800_5_125_6400_stair_1,1.5112692786950797,-1,noisy,36.30323378316851,0.9291686415672302,0.9662467241287231,0.0084238117560744,0.0521774142980575,0.0521774142980575,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_5_125_6400_stair_1,1.5112692786950797,-1,fdncnn_color,37.01647365569438,0.9430715441703796,0.9684441685676576,0.007971434853971,0.0521774142980575,0.0480703823268413,0,1.9244447000000944,,,0.0,,,,,
real_camera,polyu_full,NikonD800_5_125_6400_stair_1,1.5112692786950797,-1,ectv_fdncnn,36.31045676855796,0.9293195605278016,0.966271162033081,0.0084190610796213,0.0521774142980575,0.0521357133984565,0,1.968840400000772,4.1702811093297264e-05,4.1700899600982666e-05,0.9981761865402704,0.32,,0.3333333333333333,0.0089988112449646,0.0
real_camera,polyu_full,NikonD800_5_125_6400_stair_3,1.4489030154944609,-1,noisy,36.91613281629619,0.9129765629768372,0.9526662826538086,0.0065014753490686,0.0406778194010257,0.0406778194010257,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_5_125_6400_stair_3,1.4489030154944609,-1,fdncnn_color,37.64847537365991,0.9287886619567872,0.9557968974113464,0.0061035682447254,0.0406778194010257,0.0368491858243942,0,1.925004300001092,,,0.0,,,,,
real_camera,polyu_full,NikonD800_5_125_6400_stair_3,1.4489030154944609,-1,ectv_fdncnn,36.92278296497955,0.913131296634674,0.9526984095573424,0.0064976233989,0.0406778194010257,0.0406421869993209,0,1.963402400000632,3.563429416282922e-05,3.563240170478821e-05,0.998323361458302,0.32,,0.3333333333333333,0.008169949054718,0.0
real_camera,polyu_full,NikonD800_5_125_6400_stair_6,1.57748298780948,-1,noisy,36.13303489009284,0.9246943593025208,0.9656397700309752,0.008179323747754,0.0524830520153045,0.0524830520153045,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_5_125_6400_stair_6,1.57748298780948,-1,fdncnn_color,36.86748464226514,0.9394853711128236,0.967945158481598,0.0077441711910068,0.0524830520153045,0.0484820194542408,0,1.933759100000316,,,0.0,,,,,
real_camera,polyu_full,NikonD800_5_125_6400_stair_6,1.57748298780948,-1,ectv_fdncnn,36.14187627406589,0.9248859882354736,0.9656704664230348,0.0081738177686929,0.0524830520153045,0.0524341203272342,0,1.9741510999992895,4.893332051455563e-05,4.893168807029724e-05,0.9980131958175832,0.32,,0.3333333333333333,0.0106829404830932,0.0
real_camera,polyu_full,NikonD800_5_125_6400_stair_7,1.5024020141196934,-1,noisy,36.76937444626193,0.9053666591644288,0.9406347274780272,0.0066143875010311,0.038626167923212,0.038626167923212,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_5_125_6400_stair_7,1.5024020141196934,-1,fdncnn_color,37.56884917801936,0.9230538010597228,0.9443942904472352,0.0061481916345655,0.038626167923212,0.0344223305583,0,1.9586643000002368,,,0.0,,,,,
real_camera,polyu_full,NikonD800_5_125_6400_stair_7,1.5024020141196934,-1,ectv_fdncnn,36.776939232717645,0.905548095703125,0.9406753182411194,0.0066096656955778,0.038626167923212,0.0385853722691535,0,2.001303100001678,4.0797322049465305e-05,4.079565405845642e-05,0.9981974874317162,0.32,,0.3333333333333333,0.0086182951927185,0.0
real_camera,polyu_full,NikonD800_6-3_125_5000_plant_10,1.1361863755620425,-1,noisy,38.01562195359702,0.9309160709381104,0.9792755842208862,0.0054141907021403,0.035639327019453,0.035639327019453,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_6-3_125_5000_plant_10,1.1361863755620425,-1,fdncnn_color,38.53372192663199,0.942517101764679,0.9807119369506836,0.0049988701939582,0.035639327019453,0.0319269001483917,0,1.93961759999911,,,0.0,,,,,
