task,dataset,image,sigma255,seed,ablation,method,p,lambda,gamma,mapping,iterations,runtime,budget,removed,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output
ablation,kodak24,kodim03,25,0,p_sweep,ectv,0.65,0.08,0.04,tanh,21.0,0.05832090000330936,0.26026771699190887,0.25394008308649063,29.21064227310235,0.7077364325523376,0.9284785389900208,0.015399354510009289,0.3265019357204437,0.0725618526339531
ablation,kodak24,kodim03,25,0,p_sweep,ectv,0.75,0.08,0.04,tanh,2.0,0.02200799999991432,0.0878504009249559,0.08785039186477661,22.4422911545485,0.35595187544822693,0.8145148754119873,0.03638654947280884,0.3265019357204437,0.23865154385566711
ablation,kodak24,kodim03,25,0,p_sweep,ectv,0.85,0.08,0.04,tanh,1.0,0.018677100000786595,0.023425986122606286,0.023425966501235962,20.860604259658444,0.2999219596385956,0.7924183011054993,0.04212282598018646,0.3265019357204437,0.30307596921920776
ablation,kodak24,kodim03,25,0,p_sweep,ectv,0.95,0.08,0.04,tanh,1.0,0.019118100000923732,0.002483436928701387,0.0024834275245666504,20.39663161185498,0.28488269448280334,0.786138653755188,0.043925441801548004,0.3265019357204437,0.3240185081958771
ablation,kodak24,kodim03,25,0,lambda_sweep,ectv,0.6839397205857212,0.04,0.04,tanh,20.0,0.056658400000742404,0.18778726146140717,0.1556406468153,24.615774872719708,0.44640102982521057,0.8536326289176941,0.02805859036743641,0.3265019357204437,0.17086128890514374
ablation,kodak24,kodim03,25,0,lambda_sweep,ectv,0.6839397205857212,0.08,0.04,tanh,5.0,0.031517399998847395,0.18778726146140717,0.1877872496843338,25.651931749270457,0.49607715010643005,0.8648518919944763,0.025837326422333717,0.3265019357204437,0.13871468603610992
ablation,kodak24,kodim03,25,0,lambda_sweep,ectv,0.6839397205857212,0.12,0.04,tanh,3.0,0.027527399997779867,0.18778726146140717,0.1877872496843338,25.669449693166058,0.49502500891685486,0.8600015044212341,0.02650272101163864,0.3265019357204437,0.13871468603610992
ablation,kodak24,kodim03,25,0,lambda_sweep,ectv,0.6839397205857212,0.16,0.04,tanh,3.0,0.02713919999951031,0.18778726146140717,0.1877872496843338,25.74129816718107,0.49637413024902344,0.8570095300674438,0.026652898639440536,0.3265019357204437,0.13871468603610992
ablation,kodak24,kodim03,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.02,tanh,2.0,0.024781599997368176,0.10282893430615388,0.10282891988754272,22.84841968260908,0.3716418445110321,0.8204445838928223,0.03499303385615349,0.3265019357204437,0.223673015832901
ablation,kodak24,kodim03,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.04,tanh,5.0,0.031686300000728806,0.18778726146140717,0.1877872496843338,25.651931749270457,0.49607715010643005,0.8648518919944763,0.025837326422333717,0.3265019357204437,0.13871468603610992
ablation,kodak24,kodim03,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.08,tanh,21.0,0.06319459999940591,0.28509277559832064,0.25394008308649063,29.21064227310235,0.7077364325523376,0.9284785389900208,0.015399354510009289,0.3265019357204437,0.0725618526339531
ablation,kodak24,kodim03,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.02,linear_clip,2.0,0.023114899999200134,0.10629073343725301,0.10629072785377502,22.944425095358604,0.37543365359306335,0.821833074092865,0.03467279300093651,0.3265019357204437,0.2202112078666687
ablation,kodak24,kodim03,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.04,linear_clip,6.0,0.03641720000086934,0.21258146687450602,0.21258145570755005,26.725476664551465,0.5522596836090088,0.8834357261657715,0.022546710446476936,0.3265019357204437,0.11392048001289368
ablation,kodak24,kodim03,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.08,linear_clip,21.0,0.0681291999972018,0.3333333333333333,0.25394008308649063,29.21064227310235,0.7077364325523376,0.9284785389900208,0.015399354510009289,0.3265019357204437,0.0725618526339531
ablation,kodak24,kodim03,25,0,stopping,ectv_budget,0.6839397205857212,0.08,0.04,tanh,5.0,0.03284419999909005,0.18778726146140717,0.1877872496843338,25.651931749270457,0.49607715010643005,0.8648518919944763,0.025837326422333717,0.3265019357204437,0.13871468603610992
ablation,kodak24,kodim03,25,0,stopping,tv_fixedk_val,0.6839397205857212,0.08,0.04,tanh,40.0,0.12156039999899804,inf,0.254204161465168,29.281391758342576,0.7121243476867676,0.929475724697113,0.015271720476448536,0.3265019357204437,0.07229777425527573
ablation,kodak24,kodim03,25,0,stopping,tv_discrepancy,0.6839397205857212,0.08,0.04,tanh,21.0,0.06306889999905252,inf,0.25394008308649063,29.21064227310235,0.7077364325523376,0.9284785389900208,0.015399354510009289,0.3265019357204437,0.0725618526339531
ablation,kodak24,kodim03,25,0,stopping,tv_maxiter,0.6839397205857212,0.08,0.04,tanh,21.0,0.06083050000233925,inf,0.25394008308649063,29.21064227310235,0.7077364325523376,0.9284785389900208,0.015399354510009289,0.3265019357204437,0.0725618526339531
ablation,kodak24,kodim03,25,0,stopping,tv_chambolle_val,0.6839397205857212,0.08,0.04,validation,0.0,0.011544400000275346,,0.28819870948791504,30.174702777562757,0.819484531879425,0.9321248531341553,0.014381391927599907,0.3265019357204437,0.038303226232528687
ablation,kodak24,kodim03,25,0,stopping,tv_oracle,0.6839397205857212,0.08,0.04,clean_reference,40.0,0.8653521000014734,inf,0.254204161465168,29.281391758342576,0.7121243476867676,0.929475724697113,0.015271720476448536,0.3265019357204437,0.07229777425527573
